stock_code,company_name,short_name,issue_date,signal_date,entry_date,observed_branch_days,branch_window_start,branch_window_end,avg_top_broker_pressure,positive_pressure_day_rate,avg_buy_broker_turnover_pct,issue_observed_branch_days,issue_branch_window_start,issue_branch_window_end,issue_avg_top_broker_pressure,issue_positive_pressure_day_rate,persistent_buy_broker_n,persistent_sell_broker_n,dominant_net_buy_broker,dominant_net_buy_lots_20d,prior_cb_broker_overlap_n,company_side_proxy_score,company_side_proxy_reasons,fixed_return_365d,current_return_pct
8112,至上電子股份有限公司,至上十,2024-05-24,2024-06-07,2024-06-11,20,2024-05-13,2024-06-07,-0.049859683315405606,0.4,30.289499999999997,20,2024-04-26,2024-05-24,-0.019757129998262277,0.45,34,27,富邦證券,11106.0,0,0,[],-36.3646,
6515,穎崴科技股份有限公司,穎崴一,2024-05-31,2024-06-13,2024-06-14,20,2024-05-16,2024-06-13,0.09310961113160131,0.6,35.003,20,2024-05-06,2024-05-31,0.03241310458795373,0.6,31,35,摩根大通,311.0,0,6,"[""signal_buy_pressure"", ""signal_buy_pressure_strong"", ""signal_buy_pressure_persistent""]",15.8011,
6546,正基科技股份有限公司,正基一,2024-06-05,2024-06-05,2024-06-06,20,2024-05-09,2024-06-05,0.09332804655685026,0.7,32.4,20,2024-05-09,2024-06-05,0.09332804655685026,0.7,26,38,統一,1093.0,0,8,"[""signal_buy_pressure"", ""signal_buy_pressure_strong"", ""signal_buy_pressure_persistent"", ""signal_buy_pressure_high_persistence"", ""issue_stage_buy_pressure""]",-46.7206,
3583,辛耘企業股份有限公司,辛耘一,2024-06-07,2024-07-01,2024-07-02,20,2024-06-03,2024-07-01,0.05663080682415885,0.5,21.2595,20,2024-05-13,2024-06-07,-0.03140635248025369,0.4,28,28,台灣摩根士丹利,1371.0,0,3,"[""signal_buy_pressure""]",-10.0381,
1560,中國砂輪企業股份有限公司,中砂一,2024-06-24,2024-06-27,2024-06-28,20,2024-05-30,2024-06-27,-0.01057934715851402,0.4,23.7295,20,2024-05-27,2024-06-24,-0.012676350210766841,0.45,32,31,新加坡商瑞銀,1980.0,0,0,[],-3.1441,
6187,萬潤科技股份有限公司,萬潤五,2024-07-10,2024-08-13,2024-08-14,20,2024-07-15,2024-08-13,-0.1197472900326553,0.2,26.508,20,2024-06-13,2024-07-10,-0.015547329679518168,0.55,39,37,凱基,923.0,0,-2,"[""signal_sell_pressure""]",19.9488,
2439,美律實業股份有限公司,美律四,2024-07-10,2024-08-19,2024-08-20,20,2024-07-19,2024-08-19,-0.018101322028419416,0.35,36.072500000000005,20,2024-06-13,2024-07-10,0.052334394818265365,0.5,36,30,凱基,950.0,0,0,[],-13.9212,
3324,雙鴻科技股份有限公司,雙鴻五,2024-07-31,2024-09-26,2024-09-27,20,2024-08-29,2024-09-26,-0.02683073417015746,0.45,16.323,20,2024-07-02,2024-07-31,-0.11791761075868881,0.3,38,33,群益金鼎,395.0,0,-1,"[""issue_stage_sell_pressure""]",16.4401,
6269,台郡科技股份有限公司,台郡五,2024-08-02,2025-07-25,2025-07-28,20,2025-06-30,2025-07-25,0.001880366655882698,0.55,25.6675,20,2024-07-04,2024-08-02,-0.07342108031194988,0.35,31,29,元大證券,1608.0,0,1,"[""signal_buy_pressure_persistent"", ""issue_stage_sell_pressure""]",,-11.6348
1536,和大工業股份有限公司,和大四,2024-08-12,2025-08-05,2025-08-06,20,2025-07-09,2025-08-05,0.0869475344950836,0.65,31.0165,20,2024-07-12,2024-08-12,-0.11131544629996541,0.35,22,26,台灣摩根士丹利,2311.0,0,6,"[""signal_buy_pressure"", ""signal_buy_pressure_strong"", ""signal_buy_pressure_persistent"", ""signal_buy_pressure_high_persistence"", ""issue_stage_sell_pressure""]",,-13.355
