window_id,window_label,stock_code,company_name,cb_code,issue_date,factor_as_of_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_20d,momentum_60d,ma5_gt_ma10_gt_ma20,volume_ratio_5v20,top1_foreign_net_20d_pct_capital,top1_trust_net_20d_pct_capital,revenue_yoy,eps,contract_liability_growth
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,2472,立隆電子工業股份有限公司,24723,2020-07-22,2020-06-30,2020-07-01,32.6824,2020-08-04,36.496,11.6686,1.9185,55.1095,True,0.696,,,0.11869999999999999,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,2472,立隆電子工業股份有限公司,24723,2020-07-22,2020-08-18,2020-08-19,43.5511,2021-06-03,51.0426,17.2015,20.4691,35.006,True,1.8852,,,0.1315,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8092,建暐精密科技股份有限公司,80923,2020-07-22,2020-06-30,2020-07-01,9.48,2020-08-04,12.45,31.3291,23.268,44.6319,True,2.374,,,-0.5791,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8092,建暐精密科技股份有限公司,80923,2020-07-22,2020-08-18,2020-08-19,10.45,2021-06-03,9.13,-12.6316,-5.5046,37.8849,False,0.5826,,,-0.2954,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4912,聯德控股股份有限公司,49123,2020-08-04,2020-07-13,2020-07-14,64.023,2020-08-17,110.5852,72.7273,2.912,10.1719,False,1.8464,,,,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4912,聯德控股股份有限公司,49123,2020-08-04,2020-08-31,2020-09-01,95.6708,2021-06-17,125.1062,30.7674,4.0323,50.3472,False,0.5299,,,,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4164,承業生醫投資控股股份有限公司,41644,2020-08-04,2020-07-13,2020-07-14,34.2344,2020-08-17,31.7752,-7.1836,16.5166,30.4787,True,1.4798,,,-0.19899999999999998,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4164,承業生醫投資控股股份有限公司,41644,2020-08-04,2020-08-31,2020-09-01,32.3607,2021-06-17,29.0036,-10.3739,-3.3799,11.8492,False,0.7746,,,-0.0547,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,9958,世紀鋼鐵結構股份有限公司,99584,2020-08-11,2020-07-20,2020-07-21,79.4808,2020-08-24,97.3648,22.5009,0.2281,7.8528,False,1.6949,,,2.3276,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,9958,世紀鋼鐵結構股份有限公司,99584,2020-08-11,2020-09-07,2020-09-08,119.9029,2021-06-24,121.2552,1.1278,35.9335,53.0418,True,1.1746,,,3.2469,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8466,美喆國際股份有限公司,84661,2020-08-12,2020-07-21,2020-07-22,55.6125,2020-08-25,54.5552,-1.9012,1.4749,8.3465,True,0.6585,,,,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8466,美喆國際股份有限公司,84661,2020-08-12,2020-09-08,2020-09-09,53.4418,2021-06-25,49.2452,-7.8526,-3.2258,-1.8378,False,0.9094,,,,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,9802,鈺齊國際股份有限公司,98025,2020-08-17,2020-07-24,2020-07-27,87.2087,2020-08-28,101.6616,16.5728,3.9481,21.9008,True,1.3505,,,,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,9802,鈺齊國際股份有限公司,98025,2020-08-17,2020-09-11,2020-09-14,97.6592,2021-06-30,92.1209,-5.671,8.4821,23.1003,False,0.5229,,,,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,1598,岱宇國際股份有限公司,15982,2020-08-24,2020-07-31,2020-08-03,57.4322,2020-09-04,108.3484,88.6544,18.5028,96.4892,True,0.9275,,,1.9884,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,1598,岱宇國際股份有限公司,15982,2020-08-24,2020-09-18,2020-09-21,97.362,2021-07-07,74.1886,-23.8012,16.8182,142.3175,False,1.1188,,,1.589,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4760,勤凱科技股份有限公司,47601,2020-08-25,2020-08-03,2020-08-04,58.3083,2020-09-07,53.8643,-7.6216,-3.3373,-4.2635,False,0.6126,,,1.1587,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4760,勤凱科技股份有限公司,47601,2020-08-25,2020-09-21,2020-09-22,56.7759,2021-07-08,94.8797,67.1128,0.8163,-0.8378,False,1.7305,,,1.2775,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,1586,和勤精機股份有限公司,15862,2020-08-31,2020-08-07,2020-08-10,34.7537,2020-09-11,38.0803,9.5718,3.2258,4.4387,True,1.6382,,,0.2969,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,1586,和勤精機股份有限公司,15862,2020-08-31,2020-09-25,2020-09-28,37.6999,2021-07-14,41.194,9.2683,-5.697,13.0643,False,0.7165,,,0.21230000000000002,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6591,動力科技股份有限公司,65912,2020-09-01,2020-08-10,2020-08-11,41.3538,2020-09-14,42.1878,2.0168,-0.1963,37.8568,False,0.5041,,,,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6591,動力科技股份有限公司,65912,2020-09-01,2020-09-28,2020-09-29,38.8999,2021-07-15,44.6681,14.8282,-21.6807,12.956,False,0.6518,,,,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,1586,和勤精機股份有限公司,15863,2020-09-01,2020-08-10,2020-08-11,35.1039,2020-09-14,38.2116,8.8529,2.3196,4.4737,True,1.9275,,,0.2969,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,1586,和勤精機股份有限公司,15863,2020-09-01,2020-09-28,2020-09-29,37.6999,2021-07-15,41.194,9.2683,-6.6078,12.6092,False,0.7468,,,0.21230000000000002,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,2937,集雅社股份有限公司,29371,2020-09-04,2020-08-13,2020-08-14,21.0498,2020-09-17,19.6259,-6.7647,9.8387,37.6279,True,2.0143,,,0.3274,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,2937,集雅社股份有限公司,29371,2020-09-04,2020-10-05,2020-10-06,19.3782,2021-07-20,22.2881,15.016,-7.0381,1.1036,False,0.4986,,,0.33649999999999997,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4123,晟德大藥廠股份有限公司,41234,2020-09-07,2020-08-14,2020-08-17,42.7241,2020-09-18,43.6167,2.0891,-2.2024,45.3949,False,0.364,,,-0.6587999999999999,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4123,晟德大藥廠股份有限公司,41234,2020-09-07,2020-10-06,2020-10-07,41.296,2021-07-21,40.3439,-2.3055,-10.6821,-19.5137,False,0.5609,,,-0.6007,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4123,晟德大藥廠股份有限公司,41235,2020-09-08,2020-08-17,2020-08-18,43.3786,2020-09-21,43.6762,0.6859,-3.7617,32.8688,False,0.4678,,,-0.6587999999999999,,
