stock_code,company_name,short_name,issue_date,signal_date,entry_date,signal_session_offset,trust_daily_pct_capital,revenue_yoy,revenue_mom,volume_ratio_signal_v20,avg_volume_prev20,ma5_ma10_gap_pct,ma10_ma20_gap_pct,price_ma20_gap_pct,fixed_return_365d,current_return_pct
6441,廣錠科技股份有限公司,廣錠一,2020-03-05,2020-04-28,2020-04-29,36,1.137756,1.0932,0.011939915265117474,1.815,2045832.1,0.6983578923090761,3.2142144489993196,10.543677744364444,59.5673,
6285,啟碁科技股份有限公司,啟碁三,2022-06-27,2022-08-10,2022-08-11,32,0.320508,0.4355,0.007721645727926067,3.1061,5931077.15,3.8627188507653454,3.2218136296064293,10.350306553979038,48.6329,
5009,榮剛材料科技股份有限公司,榮剛六,2022-08-15,2022-09-26,2022-09-27,29,0.306961,0.305,0.0047228745251285216,4.8191,5904650.0,0.748958836950897,1.2343346828725954,3.1564358739694987,59.4644,
6472,保瑞藥業股份有限公司,保瑞二,2022-09-28,2022-11-08,2022-11-09,28,0.398666,3.0864999999999996,2.845392606353968,1.4824,8394471.1,5.611153600773733,1.3835243869373626,9.13467858268746,159.8316,
3680,家登精密工業股份有限公司,家登四,2023-10-18,2023-11-23,2023-11-24,26,0.405938,1.0703,0.0044404287523553574,2.4334,1633900.0,1.1695839092126903,2.367345694860812,5.578218823822323,33.1973,
6139,亞翔工程股份有限公司,亞翔四,2024-01-25,2024-03-21,2024-03-22,32,1.023318,0.7382,-0.2329971843213801,2.0882,9477403.65,1.7812234219745537,1.5941001311577718,8.573876480014043,37.5943,
6187,萬潤科技股份有限公司,萬潤五,2024-07-10,2024-08-13,2024-08-14,22,0.306631,4.7145,0.08826063633933862,1.6535,4407634.2,2.844484878601583,1.15095069707567,12.099332010283504,19.9488,
2383,台光電子材料股份有限公司,台光電六,2024-09-25,2024-11-21,2024-11-22,37,0.33044,0.3378,-0.020665542755613314,3.003,4497329.85,1.1360934104878817,1.4756690162066377,9.061554633020297,178.2362,
