stock_code,company_name,short_name,cb_code,issue_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5v20,avg_volume_20,ma_bull
3324,雙鴻科技股份有限公司,雙鴻五,33245,2024-07-31,2024-07-01,791.48,2024-08-08,497.07,-37.2,4.805194922512314,5.352480784169342,-8.91647733894761,0.8110410204579515,7173250.0,False
2641,正德海運股份有限公司,正德七,26417,2024-07-26,2024-06-26,20.65,2024-08-05,16.52,-20.0,3.220888285012555,2.0344387152603924,-5.16029189178652,0.2567767767767768,14985000.0,False
3691,碩禾電子材料股份有限公司,碩禾三,36913,2024-08-30,2024-07-31,124.5,2024-09-09,101.0,-18.88,-3.816793893129771,-13.698630136986301,-14.576271186440678,0.46986762509807894,1975450.0,False
4549,桓達科技股份有限公司,桓達一,45491,2024-11-06,2024-10-07,158.44,2024-11-14,129.76,-18.1,0.0,-3.1428524382743364,1.194027983356957,0.7708445076085203,2896161.0,True
9958,世紀鋼鐵結構股份有限公司,世紀鋼八永,99588,2024-11-08,2024-10-09,212.32,2024-11-18,175.63,-17.28,-3.153152615216668,-11.885245665889787,-1.8264847011050511,0.7545676765539929,8443042.55,False
2548,華固建設股份有限公司,華固三,25483,2024-10-02,2024-09-02,125.58,2024-10-11,104.93,-16.44,4.5774587056157685,-2.941165333459554,0.3378440163136426,0.46609343665473585,2354755.75,False
4549,桓達科技股份有限公司,桓達一,45491,2024-11-07,2024-10-08,151.91,2024-11-15,128.33,-15.52,-5.292480023291794,-0.8746342325406091,-3.9548052909570344,0.8988952148586298,2476879.8,True
8927,北基國際股份有限公司,北基七,89277,2024-08-16,2024-07-17,54.02,2024-08-26,45.88,-15.07,11.72839240990304,18.10766523491457,19.867550234106908,7.605807686502958,383970.45,True
6664,群翊工業股份有限公司,群翊二,66642,2024-11-19,2024-10-21,281.48,2024-11-27,245.09,-12.93,-0.6908562323170753,-4.801327963330074,-2.7072825022329035,0.4100361222298155,1024300.0,False
8147,正淩精密工業股份有限公司,正淩三,81473,2024-10-03,2024-09-03,133.99,2024-10-11,118.29,-11.72,-1.449272913658518,2.6415108063138826,25.92592432673918,1.4164794007490638,1335000.0,True
2548,華固建設股份有限公司,華固四,25484,2024-10-18,2024-09-18,112.94,2024-10-28,99.87,-11.57,0.7490637212046508,-6.59721089362937,-7.876707105250724,1.0157426001839303,1658725.35,False
6835,圓裕企業股份有限公司,圓裕一,68351,2024-11-01,2024-10-04,49.56,2024-11-11,43.94,-11.34,1.7612536174583509,3.7924159134195,-0.5736166564746404,1.4096852773625113,216360.35,True
3016,嘉晶電子股份有限公司,嘉晶五,30165,2024-07-26,2024-06-26,61.78,2024-08-05,54.79,-11.31,-4.790424539204927,-0.15698932090993115,0.3154457663587514,1.3003487497941728,1216129.75,False
